inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.6111111111111112,0.04712821257426773,198103,197779,324,TNafc7rqPN38dSjd5kKhAE,2024-09-26T21:59:14-04:00,2024-09-26T21:59:14-04:00,2025-01-28T12:07:03,2024-09-26T21-59-09-04-00_benchmarks-lab-bench_izzGBhpdokLnQ4ghMNfuH8.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5555555555555556,0.04803752235190188,198099,197775,324,EgmoWzXxhbog3oteKtqrhk,2024-09-26T21:58:55-04:00,2024-09-26T21:58:55-04:00,2025-01-28T12:07:03,2024-09-26T21-58-50-04-00_benchmarks-lab-bench_QfWNMLivmjJK3W5ZsNapVL.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5740740740740741,0.04780343626936791,198097,197773,324,WxHbAPc4eKyhiR5hm5hUzz,2024-09-26T21:59:02-04:00,2024-09-26T21:59:02-04:00,2025-01-28T12:07:03,2024-09-26T21-58-56-04-00_benchmarks-lab-bench_EsRZQyqV7P9UPeNJV8nHXb.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5740740740740741,0.04780343626936791,198095,197771,324,Fuz5qBpFxeAuAUte5RVfyr,2024-09-26T21:59:46-04:00,2024-09-26T21:59:46-04:00,2025-01-28T12:07:03,2024-09-26T21-59-31-04-00_benchmarks-lab-bench_YmVpcWSiUHe7zehkVSGVoT.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5833333333333334,0.04766075165356461,198099,197775,324,e3BwiA6xEvSazit87FszTc,2024-09-26T21:58:35-04:00,2024-09-26T21:58:35-04:00,2025-01-28T12:07:03,2024-09-26T21-58-29-04-00_benchmarks-lab-bench_4etnnVfes9wZ2Adr2doQBF.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5648148148148148,0.04792898170907059,198103,197779,324,LL7AkRwW93SzssjpnKTvvD,2024-09-20T13:18:14-04:00,2024-09-20T13:18:14-04:00,2025-01-28T12:07:03,2024-09-20T13-18-06-04-00_benchmarks-lab-bench_b4hag2Bh2dNSQbw7FAjWfD.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.6111111111111112,0.04712821257426773,198106,197782,324,ddh6pv8nApJAti3ztsvtup,2024-09-26T21:59:30-04:00,2024-09-26T21:59:30-04:00,2025-01-28T12:07:03,2024-09-26T21-59-15-04-00_benchmarks-lab-bench_k6S2JoKPtVKoxqDyMwtnnS.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5925925925925926,0.04750077341199985,198097,197773,324,jkboAhpTQYVoW7yjRdsFHo,2024-09-26T21:59:08-04:00,2024-09-26T21:59:08-04:00,2025-01-28T12:07:03,2024-09-26T21-59-02-04-00_benchmarks-lab-bench_akRzYcvVvCBUPcKbFkfcsi.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5833333333333334,0.04766075165356461,198099,197775,324,39uUBDzncytjpJKpDNM3Vq,2024-09-26T21:58:49-04:00,2024-09-26T21:58:49-04:00,2025-01-28T12:07:03,2024-09-26T21-58-43-04-00_benchmarks-lab-bench_MxcPTCHUc9YHGAdZi9as2J.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5555555555555556,0.04803752235190188,198101,197777,324,UTYweq5J4QorqVEfKRthXW,2024-09-26T21:58:42-04:00,2024-09-26T21:58:42-04:00,2025-01-28T12:07:03,2024-09-26T21-58-37-04-00_benchmarks-lab-bench_LJkJsj4T93qekamNwr5WMb.json,False
